Supplementary Materials: Binding data for rapamycin regulatory network																
ORF	Gene name	Description	Binding p-values													
			DAL80 Rapamycin	DAL81 Rapamycin	DAL82 Rapamycin	FHL1 Rapamycin	GCN4 Rapamycin	UGA3 Rapamycin	RTG1 Rapamycin	RTG3 Rapamycin	MSN2 Rapamycin	MSN4 Rapamycin	GAT1 Rapamycin	HAP2 Rapamycin	GLN3 Rapamycin	GZF3 Rapamycin
YER022W	SRB4	DNA-directed RNA polymerase II holoenzyme and Kornberg's mediator (SRB) subcomplex subunit	0.426	0.411	0.196	0.309	0.504	0.192	0.252	0.143	0.15	0.044	0.393	0.293	0.329	0.229
YER023W	PRO3	delta 1-pyrroline-5-carboxylate reductase	0.374	0.495	0.527	0.857	0.806	0.833	0.719	0.838	0.812	0.649	0.715	0.823	0.763	0.776
YER024W	YAT2	carnitine O-acetyltransferase	0.774	0.514	0.523	0.404	0.005	0.519	0.364	0.013	0.804	0.764	0.517	0.418	0.435	0.777
YER025W	GCD11	translation initiation factor eIF2 gamma chain	0.363	0.749	0.747	0.913	0.87	0.895	0.498	0.581	0.937	0.937	0.91	0.845	0.843	0.868
YER026C	CHO1	CDP-diacylglycerol serine O-phosphatidyltransferase	0.888	0.586	0.81	0.317	0.482	0.598	0.356	0.598	0.764	0.619	0.408	0.405	0.366	0.249
YER027C	GAL83	glucose repression protein	0.164	0.149	0.372	0.353	0.559	0.446	0.179	0.344	0.249	0.165	0.527	0.599	0.355	0.601
YER028C	YER028C	similarity to MIG1P	0.972	0.779	0.844	0.706	0.622	0.805	0.811	0.89	0.701	0.72	0.657	0.841	0.739	0.822
YER029C	SMB1	associated with U1 snRNP as part of the Sm-core that is common to all spliceosomal snRNPs	0.214	0.122	0.254	0.638	0.681	0.563	0.392	0.673	0.283	0.378	0.504	0.293	0.587	0.576
YER030W	YER030W	similarity to mouse nucleolin	0.214	0.122	0.254	0.638	0.681	0.563	0.392	0.673	0.283	0.378	0.504	0.293	0.587	0.576
YER031C	YPT31	GTP-binding protein of the rab family	0.481	0.43	0.749	0.823	0.894	0.874	0.851	0.957	0.846	0.82	0.746	0.806	0.877	0.893
YER032W	FIR1	interacts with the poly(A) polymerase in the two hybrid system	0.481	0.43	0.749	0.823	0.894	0.874	0.851	0.957	0.846	0.82	0.746	0.806	0.877	0.893
YER033C	ZRG8	"weak similarity to NMD2P, KEX1P and hamster nucleolin"	NaN	0.926	0.839	0.843	0.834	0.926	0.888	0.912	0.881	0.884	0.853	0.922	0.834	0.94
YER034W	YER034W	hypothetical protein	NaN	0.926	0.839	0.843	0.834	0.926	0.888	0.912	0.881	0.884	0.853	0.922	0.834	0.94
YER035W	EDC2	weak similarity to EDC1	0.913	0.077	0.555	0.308	0.527	0.631	0.845	0.47	0.41	0.694	0.448	0.426	0.188	0.779
YER036C	KRE30	strong similarity to members of the ABC transporter family	0.866	0.167	0.574	0.711	0.32	0.851	0.857	0.452	0.4	0.498	0.197	0.847	0.293	0.692
YER037W	PHM8	strong similarity to hypothetical protein YGL224c	0.866	0.167	0.574	0.711	0.32	0.851	0.857	0.452	0.4	0.498	0.197	0.847	0.293	0.692
YER038C	KRE29	hypothetical protein	0.885	0.708	0.823	0.355	0.359	0.146	0.77	0.771	0.766	0.768	0.671	0.625	0.767	0.65
YER039C	HVG1	strong similarity to vanadate resistance protein GOG5P	0.905	0.929	0.925	0.891	0.006	0.951	0.89	0.796	0.861	0.925	0.96	0.928	0.9	0.911
YER039C-A	YER039C-A	similarity to S. bayanus	0.905	0.929	0.925	0.891	0.006	0.951	0.89	0.796	0.861	0.925	0.96	0.928	0.9	0.911
YER040W	GLN3	transcription factor for positive nitrogen regulation	0.905	0.929	0.925	0.891	0.006	0.951	0.89	0.796	0.861	0.925	0.96	0.928	0.9	0.911
YER041W	YEN1	weak similarity to DNA repair protein RAD2P and Dsh1p	0.033	0.023	0.021	0.168	0.123	0.014	0.016	0.071	0.01	0.053	0.023	0.009	0.029	NaN
YER042W	MXR1	responsible for the reduction of methionine sulfoxide	0.645	NaN	0.835	0.774	0.303	0.375	0.426	0.669	0.595	0.512	0.622	0.709	0.683	0.703
YER043C	SAH1	S-adenosyl-L-homocysteine hydrolase	0.888	0.584	0.781	0.76	0.797	0.464	0.455	0.663	0.551	0.846	0.544	0.549	0.546	0.845
YER044C	ERG28	involved in synthesis of ergosterol	0.054	0.01	0.01	0.273	0.238	0.091	0.089	0.15	0.024	0.028	0.095	0.1	0.096	0.361
YER044C-A	MEI4	meiosis-specific protein	0.072	0.067	0.157	0.304	0.09	0.029	0.004	0.001	0	0.001	0.01	0.05	0.044	0.027
YER045C	ACA1	ATF/CREB activator	0.956	0.205	0.512	0.618	0.149	0.971	0.972	0.772	0.824	0.83	0.898	0.961	0.319	0.991
YER046W	SPO73	hypothetical protein	0.808	0.195	0.001	0.907	0.269	0.903	0.842	0.64	0.592	0.687	0.734	0.641	0.475	0.845
YER047C	SAP1	member of the AAA-protein family	0.898	NaN	0.526	0.826	0.633	0.446	0.397	0.859	0.646	0.649	0.865	0.855	0.637	0.464
YER048C	CAJ1	dnaJ homolog	0.286	0.694	0.653	0.544	0.15	0.467	0.472	0.626	0.55	0.641	0.203	0.358	0.326	0.269
YER048W-A	YER048W-A	similarity to D. melanogaster protein	0.278	0.05	0.055	0.685	0.515	0.19	0.424	0.289	0.093	0.137	0.154	0.1	0.22	0.442
YER049W	YER049W	strong similarity to hypothetical S.pombe protein YER049W	0.047	0.017	0.03	0.259	0.183	0.072	0.004	0.011	0.006	0.011	0.108	0.154	0.257	0.253
YER050C	RSM18	component of the mitochondrial ribosomal small subunit	0.146	0.534	0.528	0.646	0.47	0.533	0.379	0.552	0.285	0.902	0.463	0.45	0.722	0.398
YER051W	YER051W	similarity to C.elegans hypothetical protein	0.146	0.534	0.528	0.646	0.47	0.533	0.379	0.552	0.285	0.902	0.463	0.45	0.722	0.398
YER052C	HOM3	L-aspartate 4-P-transferase	0.469	0.365	0.574	0.392	0	0.489	0.704	0.518	0.581	0.533	0.437	0.581	0.573	0.89
YER053C	YER053C	strong similarity to mitochondrial phosphate carrier protein	0.495	0.302	0.464	0.775	0.512	0.646	0.612	0.504	0.517	0.719	0.481	0.431	0.516	0.457
YER053C-A	#REF!		0.283	0.264	0.153	0.372	0.554	0.444	0.353	0.361	0.279	0.419	0.467	0.394	0.489	0.471
YER054C	GIP2	GLC7P-interacting protein	0.283	0.264	0.153	0.372	0.554	0.444	0.353	0.361	0.279	0.419	0.467	0.394	0.489	0.471
YER055C	HIS1	ATP phosphoribosyltransferase	0.783	0.08	0.463	0.112	0	0.026	0.494	0.139	0.499	0.506	0.122	0.087	0.087	0.722
YER056C	FCY2	purine-cytosine permease	0.451	0.092	0.577	0.428	0.439	0.599	0.482	0.252	0.469	0.563	0.433	0.251	0.193	0.432
YER056C-A	RPL34A	ribosomal protein L34	0.894	0.919	0.962	0	0.698	0.928	0.909	0.941	0.964	0.951	0.849	0.894	0.856	0.93
YER057C	HMF1	Heat-shock induceable Inhibiter of cell Growth	0.799	0.856	0.922	0.292	0.019	0.809	0.851	0.67	0.874	0.831	0.591	0.79	0.626	0.864
YER058W	PET117	cytochrome c oxidase assembly factor	0.799	0.856	0.922	0.292	0.019	0.809	0.851	0.67	0.874	0.831	0.591	0.79	0.626	0.864
YER059W	PCL6	cyclin like protein interacting with PHO85P	0.411	0.426	0.491	0.344	0.621	0.452	0.644	0.678	0.666	0.445	0.484	0.459	0.473	0.555
YER060W	FCY21	purine-cytosine permease	0.569	0.362	0.422	0.035	0.331	0.228	0.391	0.361	0.555	0.425	0.053	0.131	0.045	0.267
YER060w-A	FCY22	purine/cytosine permease with similarity to FCY2P	0.052	NaN	0.049	0.422	0.592	0.269	0.403	0.11	0.518	0.105	0.117	0.364	0.142	0.358
YER061C	CEM1	"beta-keto-acyl-ACP synthase, mitochondrial"	0.735	0.251	0.767	0.539	0.002	0.409	0.447	0.503	0.832	0.726	0.483	0.547	0.436	0.739
YER062C	HOR2	DL-glycerol phosphatase	0.903	0.887	0.933	0.591	0.094	0.98	0.883	0.847	0.939	0.961	0.894	0.867	0.805	0.956
YER063W	THO1	weak similarity to human heterogeneous ribonuclear particle protein U	0.903	0.887	0.933	0.591	0.094	0.98	0.883	0.847	0.939	0.961	0.894	0.867	0.805	0.956
YER064C	YER064C	similarity to hypothetical protein YIL056w	0.751	0.19	0.654	0.739	0.113	0.99	0.912	0.801	0.898	0.953	0.918	0.875	0.837	0.902
YER065C	ICL1	isocitrate lyase	0.494	0.382	0.631	0.897	0.281	0.748	0.783	0.513	0.722	0.649	0.735	0.818	0.717	0.775
YER066C-A	YER066C-A	hypothetical protein	0.221	0.373	0.171	0.14	0.102	0.189	0.154	0.241	0.033	0.048	0.206	0.262	0.266	0.242
YER066W	YER066W	strong similarity to cell division control protein CDC4P	0.538	0.863	0.525	0.412	0.517	0.344	0.289	0.25	0.451	0.299	0.7	0.523	0.546	0.319
YER067W	YER067W	strong similarity to hypothetical protein YIL057c	0.435	0.718	0.309	0.423	0.242	0.397	0.307	0.149	0.323	0.351	0.741	0.629	0.617	0.682
YER068W	MOT2	transcriptional repressor	0.221	0.373	0.171	0.14	0.102	0.189	0.154	0.241	0.033	0.048	0.206	0.262	0.266	0.242
YER069W	ARG5	"6,acetylglutamate kinase and acetylglutamyl-phosphate reductase"	0.498	0.001	0.259	0.008	0	0.141	0.023	0	0.189	0.175	0.016	0.152	0.005	0.46
YER070W	RNR1	"ribonucleoside-diphosphate reductase, large subunit"	0.569	0.391	0.165	0.181	0.352	0.617	0.267	0.22	0.207	0.17	0.463	0.484	0.472	0.538
YER071C	YER071C	hypothetical protein	0.479	0.142	0.23	0.452	0.554	0.737	0.283	0.179	0.076	0.073	0.29	0.53	0.211	0.464
YER072W	VTC1	Negative Regulator of Cdc Fourty two (CDC42)	0.479	0.142	0.23	0.452	0.554	0.737	0.283	0.179	0.076	0.073	0.29	0.53	0.211	0.464
YER073W	ALD5	"aldehyde dehydrogenase (NAD+), mitochondrial"	NaN	0.133	0.364	0.164	0.001	0.751	0.771	0.603	0.758	0.503	0.272	0.728	0.359	0.883
YER074W	RPS24A	40s small subunit ribosomal protein S24.e	0.874	0.88	0.811	0	0.276	0.666	0.963	0.88	0.948	0.929	0.829	0.878	0.836	0.746
YER075C	PTP3	protein tyrosine phosphatase	0.958	0.666	0.404	0.527	0.603	0.959	0.921	0.875	0.89	0.949	0.898	0.938	0.719	0.949
YER076C	YER076C	similarity to killer toxin Khr1p	0.245	0.475	0.148	0.282	0.394	0.219	0.008	0.01	0.012	0.024	0.094	0.068	0.127	0.044
YER077C	YER077C	hypothetical protein	0.013	0.002	0.001	0.093	0.158	0.011	0.001	0.003	0	0.001	0.036	0.102	0.045	0.025
YER078C	YER078C	similarity to E.coli X-Pro aminopeptidase II	0.526	0.732	0.533	0.636	0.055	0.489	0.463	0.508	0.645	0.644	0.821	0.758	0.713	0.803
YER079W	YER079W	hypothetical protein	0.526	0.732	0.533	0.636	0.055	0.489	0.463	0.508	0.645	0.644	0.821	0.758	0.713	0.803
YER080W	YER080W	hypothetical protein	0.877	0.875	0.807	0.512	0.548	0.606	0.493	0.521	0.449	0.527	0.393	0.342	0.253	0.219
YER081W	SER3	3-phosphoglycerate dehydrogenase	0.347	0.291	0.482	0.844	0.688	0.732	0.734	0.526	0.457	0.555	0.286	NaN	0.373	0.264
YER082C	KRE31	similarity to M.sexta steroid regulated MNG10 protein	0.182	0.719	0.52	0.319	0.597	0.189	0.413	0.452	0.415	0.358	0.413	0.515	0.501	0.36
YER083C	YER083C	hypothetical protein	0.86	0.966	0.89	0.601	0.626	0.483	0.692	0.89	0.548	0.718	0.788	0.856	0.711	0.527
YER084W	YER084W	questionable ORF	0.182	0.719	0.52	0.319	0.597	0.189	0.413	0.452	0.415	0.358	0.413	0.515	0.501	0.36
YER085C	YER085C	weak similarity to myosins	0.039	0.149	0.037	0.025	0.001	0.259	0.061	0.06	0.118	0.144	0.341	0.358	0.337	0.528
YER086W	ILV1	anabolic serine and threonine dehydratase precursor	0.039	0.149	0.037	0.025	0.001	0.259	0.061	0.06	0.118	0.144	0.341	0.358	0.337	0.528
YER087C-A	YER087C-A	questionable ORF	0.544	0.604	0.532	0.472	0.169	0.168	0.353	0.503	0.371	0.367	0.42	0.508	0.443	0.281
YER087W	YER087W	similarity to E.coli prolyl-tRNA synthetase	0.376	0.33	0.226	0.331	0.082	0.148	0.136	0.142	0.206	0.125	0.084	0.043	0.109	0.029
YER088C	DOT6	involved in derepression of telomeric silencing	0.707	0.123	0.132	0.046	0.859	0.872	0.924	0.838	0.754	0.869	0.498	0.639	0.724	0.968
YER089C	PTC2	protein serine/threonine phosphatase of the PP2C family	0.355	0.521	0.645	0.164	0	0.176	0.499	0.157	0.399	0.434	0.029	0.137	0.056	0.197
YER090W	TRP2	anthranilate synthase component I	0.355	0.521	0.645	0.164	0	0.176	0.499	0.157	0.399	0.434	0.029	0.137	0.056	0.197
YER091C	MET6	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	0.523	0.116	0.488	0.016	0.003	0.068	0.35	0.091	0.627	0.461	0.15	0.08	0.136	0.218
YER091C-A	YER091C-A	hypothetical protein - identified by SAGE	0.775	0.094	0.347	0.052	0.026	0.592	0.771	0.094	0.837	0.962	0.41	0.731	0.624	0.972
YER092W	IES5	weak similarity to tryptophan synthase beta subunit - Aquifex aeolicus	0.775	0.094	0.347	0.052	0.026	0.592	0.771	0.094	0.837	0.962	0.41	0.731	0.624	0.972
YER093C	YER093C	weak similarity to S.epidermidis PepB protein	0.789	0.756	0.893	0.915	0.904	0.695	0.492	0.857	0.775	0.771	0.851	0.732	0.906	0.72
YER093C-A	YER093C-A	similarity to hypothetical protein YBL059w	0.591	0.896	0.835	0.751	0.872	0.457	0.764	0.795	0.759	0.743	0.784	0.661	0.749	0.687
YER094C	PUP3	20S proteasome subunit (beta3)	0.673	0.822	0.53	0.821	0.525	0.845	0.854	0.812	0.79	0.885	0.885	0.714	0.952	0.944
YER095W	RAD51	DNA repair protein	0.673	0.822	0.53	0.821	0.525	0.845	0.854	0.812	0.79	0.885	0.885	0.714	0.952	0.944
YER096W	SHC1	sporulation specific protein	0.354	0.807	0.635	0.649	0.267	0.212	0.371	0.535	0.439	0.388	0.497	0.592	0.525	0.253
YER097W	YER097W	weak similarity to ribosomal S3 proteins	0.955	0.688	0.753	0.946	0.983	0.988	0.984	0.714	0.937	0.964	0.737	0.577	0.878	0.993
YER098W	UBP9	ubiquitin carboxyl-terminal hydrolase	0.955	0.688	0.753	0.946	0.983	0.988	0.984	0.714	0.937	0.964	0.737	0.577	0.878	0.993
YER099C	PRS2	ribose-phosphate pyrophosphokinase	0.552	0.876	0.756	0.64	0.852	0.921	0.791	0.825	0.807	0.79	0.81	0.795	0.925	0.803
YER100W	UBC6	E2 ubiquitin-conjugating enzyme	0.552	0.876	0.756	0.64	0.852	0.921	0.791	0.825	0.807	0.79	0.81	0.795	0.925	0.803
YER101C	AST2	involved in targeting of plasma membrane [H+]ATPase	0.807	0.876	0.751	0	0.766	0.962	0.754	0.93	0.884	0.898	0.97	0.961	0.974	0.836
YER102W	RPS8B	ribosomal protein S8.e	0.807	0.876	0.751	0	0.766	0.962	0.754	0.93	0.884	0.898	0.97	0.961	0.974	0.836
YER103W	SSA4	"heat shock protein of HSP70 family, cytosolic"	0.297	0.579	0.665	0.372	0.697	0.775	0.557	0.601	0.436	0.383	0.758	0.863	0.493	0.666
YER104W	RTT105	disruption causes increase in Ty1 retrotransposition	0.95	0.966	0.898	0.571	0.453	0.953	0.82	0.861	0.918	0.93	0.966	0.845	0.911	0.744
YER105C	NUP157	nuclear pore protein	0.526	0.757	0.772	0.351	0.362	0.463	0.549	0.356	0.452	0.792	0.786	0.482	0.789	0.74
YER106W	MAM1	weak similarity to At2g20470 A. thaliana	0.526	0.757	0.772	0.351	0.362	0.463	0.549	0.356	0.452	0.792	0.786	0.482	0.789	0.74
YER107C	GLE2	required for nuclear pore complex structure and function	0.199	0.077	0.018	0.114	0.233	0.132	0.006	0.007	0.012	0.002	0.109	0.102	0.067	0.054
YER109C	FLO8	required for diploid filamentous growth	0.56	0.776	0.746	0.791	0.937	0.93	0.793	0.857	0.718	0.77	0.894	0.775	0.913	0.742
YER110C	KAP123	RAN-binding protein	0.138	0.234	0.214	0.832	0.913	0.872	0.692	0.677	0.476	0.658	0.52	0.476	0.647	0.445
YER111C	SWI4	transcription factor	0.533	0.291	0.388	0.173	0.276	0.442	0.448	0.131	0.319	0.247	0.437	0.64	0.409	0.434
YER112W	LSM4	Sm-like (Lsm) protein	0.533	0.291	0.388	0.173	0.276	0.442	0.448	0.131	0.319	0.247	0.437	0.64	0.409	0.434
YER113C	YER113C	similarity to EMP70P	0.607	0.596	0.515	0.261	0.466	0.425	0.187	0.458	0.399	0.418	0.313	0.474	0.358	0.196
YER114C	BOI2	budding protein	0.258	0.711	0.646	0.193	0.307	0.547	0.356	0.544	0.451	0.565	0.468	0.595	0.526	0.403
YER115C	SPR6	sporulation-specific protein	0.02	0.065	0.018	0.22	0.35	0.144	0.016	0.058	0.024	0.046	0.315	0.306	0.373	0.141
YER116C	SLX8	"subunit of HEX3P-SLX8P complex, required for cell growth in the absence of SGS1 or TOP3"	0.811	0.92	0.792	0	0.812	0.736	0.943	0.961	0.869	0.874	0.861	0.91	0.905	0.886
YER117W	RPL23B	ribosomal protein L23.e	0.811	0.92	0.792	0	0.812	0.736	0.943	0.961	0.869	0.874	0.861	0.91	0.905	0.886
YER118C	SHO1	involved in the HOG1 high-osmolarity signal transduction pathway	0.232	0.55	0.264	0.323	0.731	0.339	0.451	0.336	0.27	0.467	0.47	0.464	0.684	0.643
YER119C	YER119C	weak similarity to E.herbicola tyrosine permease	0.802	0.878	0.714	0.634	0.659	0.438	0.64	0.851	0.644	0.656	0.562	0.636	0.608	NaN
YER119C-A	YER119C-A	questionable ORF	0.802	0.878	0.714	0.634	0.659	0.438	0.64	0.851	0.644	0.656	0.562	0.636	0.608	NaN
YER120W	SCS2	required for inositol metabolism	0.232	0.55	0.264	0.323	0.731	0.339	0.451	0.336	0.27	0.467	0.47	0.464	0.684	0.643
YER121W	YER121W	hypothetical protein	0.802	0.878	0.714	0.634	0.659	0.438	0.64	0.851	0.644	0.656	0.562	0.636	0.608	NaN
YER122C	GLO3	zinc finger protein	0.203	0.253	0.113	0.263	0.154	0.262	0.144	0.32	0.111	0.119	0.216	0.449	0.261	0.14
YER123W	YCK3	"casein kinase, isoform 3"	0.203	0.253	0.113	0.263	0.154	0.262	0.144	0.32	0.111	0.119	0.216	0.449	0.261	0.14
YER124C	YER124C	weak similarity to Dictyostelium WD40 repeat protein 2	0.445	0.29	0.463	0.34	0.283	0.29	0.249	0.171	0.207	0.189	0.233	0.479	0.284	0.388
YER125W	RSP5	hect domain E3 ubiquitin-protein ligase	0.445	0.29	0.463	0.34	0.283	0.29	0.249	0.171	0.207	0.189	0.233	0.479	0.284	0.388
YER126C	KRE32	weak similarity to E.coli colicin N	0.37	0.525	0.468	0.344	0.619	0.273	0.45	0.725	0.32	0.462	0.678	0.472	0.737	0.45
YER127W	LCP5	NGG1P interacting protein	0.37	0.525	0.468	0.344	0.619	0.273	0.45	0.725	0.32	0.462	0.678	0.472	0.737	0.45
YER128W	YER128W	hypothetical protein	0.89	0.918	0.948	0.765	0.223	0.429	0.574	0.845	0.863	0.818	0.402	0.641	0.462	0.314
YER129W	PAK1	DNA polymerase alpha suppressing protein kinase	0.474	0.783	0.556	0.334	0.226	0.25	0.368	0.596	0.346	0.461	0.207	0.316	0.213	0.112
YER130C	YER130C	similarity to MSN2P and weak similarity to MSN4P	0.862	0.71	0.491	0	0.702	0.711	0.81	0.821	0.699	0.814	0.85	0.85	0.825	0.74
YER131W	RPS26B	40S small subunit ribosomal protein S26e-c5	0.862	0.71	0.491	0	0.702	0.711	0.81	0.821	0.699	0.814	0.85	0.85	0.825	0.74
YER132C	PMD1	negative regulator of early meiotic expression	0.5	0.265	0.017	0.508	0.549	0.203	0.412	0.467	0.353	0.383	0.222	0.428	0.473	0.519
YER133W	GLC7	"ser/thr phosphoprotein phosphatase 1, catalytic chain"	0.052	0.054	0.016	0.346	0.46	0.038	0.051	0.145	0.025	0.059	0.125	0.18	0.311	0.254
YER134C	YER134C	weak similarity to S.pombe SPBC13G1 and C.elegans F26F2.d hypothetical proteins	0.412	0.558	0.501	0.865	0.696	0.502	0.447	0.501	0.364	0.367	0.824	0.486	0.753	NaN
YER135C	YER135C	hypothetical protein	0.159	0.122	0.308	0.575	0.597	0.308	0.061	0.014	0.083	0.026	0.04	0.164	0.056	0.09
YER136W	GDI1	GDP dissociation inhibitor	0.46	0.405	0.469	0.705	0.841	0.827	0.659	0.865	0.799	0.576	0.603	0.841	0.538	0.921
YER137C	YER137C	weak similarity to Mycoplasma hominis P120 protein	0.973	0.255	0.493	0.612	0.936	0.732	0.977	0.838	0.964	0.929	0.383	0.717	0.62	0.985
YER137C-A	#REF!		0.951	0.176	0.912	0.342	0.205	0.592	0.735	0.158	0.716	0.455	0.046	0.062	0.024	0.203
YER138C	#REF!		0.075	0.121	0.065	0.149	0.467	0.018	0.004	0	0.009	0.006	0.015	0.005	0.019	0.01
YER138W-A	YER138W-A	questionable ORF - identified by SAGE	0.951	0.176	0.912	0.342	0.205	0.592	0.735	0.158	0.716	0.455	0.046	0.062	0.024	0.203
YER139C	YER139C	similarity to hypothetical protein YDR066c	0.105	0.293	0.163	0.617	0.788	0.517	0.193	0.415	0.194	0.274	0.737	0.675	0.505	0.728
YER140W	YER140W	similarity to PIR:T39406 hypothetical protein S. pombe	0.105	0.293	0.163	0.617	0.788	0.517	0.193	0.415	0.194	0.274	0.737	0.675	0.505	0.728
YER141W	COX15	cytochrome oxidase assembly factor	0.772	0.571	0.69	0.751	0.83	0.856	0.426	0.314	0.689	0.52	0.799	0.829	0.651	0.855
YER142C	MAG1	3-methyladenine DNA glycosylase	0.69	0.522	NaN	0.701	0.534	0.452	0.572	0.862	0.468	0.696	0.475	0.608	0.593	0.502
YER143W	DDI1	induced in response to DNA alkylation damage	0.69	0.522	NaN	0.701	0.534	0.452	0.572	0.862	0.468	0.696	0.475	0.608	0.593	0.502
YER144C	UBP5	ubiquitin-specific protease	0.978	0.946	0.973	0.518	0.798	0.791	0.853	0.929	0.891	0.778	0.776	0.765	0.855	0.89
YER145C	FTR1	iron permease that mediates high-affinity iron uptake	0.895	0.412	0.516	0.398	0.33	0.95	0.965	0.743	0.895	0.911	0.804	0.905	0.821	0.976
YER146W	LSM5	Sm-like (Lsm) protein	0.895	0.412	0.516	0.398	0.33	0.95	0.965	0.743	0.895	0.911	0.804	0.905	0.821	0.976
YER147C	SCC4	protein required for sister chromatid cohesion	0.019	0.198	0.062	0.348	0.26	0.285	0.061	0.213	0.075	0.071	0.468	0.371	0.581	0.418
YER148W	SPT15	the TATA-binding protein TBP	0.019	0.198	0.062	0.348	0.26	0.285	0.061	0.213	0.075	0.071	0.468	0.371	0.581	0.418
YER149C	PEA2	involved in oriented growth toward mating partner	0.704	0.323	0.683	0.591	0.491	0.851	0.737	0.813	0.795	0.78	0.796	0.877	0.779	0.895
YER150W	SPI1	Stationary Phase Induced	0.704	0.323	0.683	0.591	0.491	0.851	0.737	0.813	0.795	0.78	0.796	0.877	0.779	0.895
YER151C	UBP3	ubiquitin-specific proteinase	0.553	0.568	0.475	0.733	0.762	0.365	0.617	0.438	0.594	0.496	0.716	0.465	0.714	0.78
YER152C	YER152C	weak similarity to E.coli hypothetical protein f470	0.149	0.064	0.531	0.208	0.234	0.613	0.701	0.525	0.474	0.697	0.422	0.465	NaN	0.952
YER153C	PET122	translational activator of cytochrome c oxidase subunit III	0.149	0.064	0.531	0.208	0.234	0.613	0.701	0.525	0.474	0.697	0.422	0.465	NaN	0.952
YER154W	OXA1	cytochrome oxidase biogenesis protein	0.149	0.064	0.531	0.208	0.234	0.613	0.701	0.525	0.474	0.697	0.422	0.465	NaN	0.952
YER155C	BEM2	GTPase-activating protein	0.5	0.743	0.891	0.853	0.907	0.867	0.713	0.861	0.798	0.875	0.8	0.814	0.92	0.849
YER156C	YER156C	similarity to hypothetical C. elegans protein C27H6.5	0.588	0.772	0.81	0.451	0.76	0.426	0.383	0.779	0.551	0.488	0.652	0.463	0.645	0.619
YER157W	SEC34	required for vesicle tethering to the yeast Golgi apparatus	0.588	0.772	0.81	0.451	0.76	0.426	0.383	0.779	0.551	0.488	0.652	0.463	0.645	0.619
YER158C	YER158C	weak similarity to AFR1P	0.903	0.9	0.969	0.819	0.64	0.846	0.907	0.926	0.912	0.914	0.861	0.886	0.76	0.961
YER159C	BUR6	functional homolog of human NC2alpha	0.618	0.163	0.705	0.613	0.612	0.349	0.777	0.624	0.585	0.463	0.226	0.334	0.342	0.746
YER159C-A	#REF!		0.338	0.403	0.381	0.631	0.321	0.403	0.224	0.208	0.121	0.124	0.43	0.508	0.198	0.399
YER160C	#REF!		0.338	0.403	0.381	0.631	0.321	0.403	0.224	0.208	0.121	0.124	0.43	0.508	0.198	0.399
YER161C	SPT2	multifunctional HMG-like chromatin protein	0.509	0.61	0.82	0.936	0.742	0.615	0.535	0.809	0.659	0.523	0.71	0.383	0.694	0.518
YER162C	RAD4	excision repair protein	0.439	0.349	0.01	0.713	0.682	0.52	0.379	0.766	0.358	0.758	0.56	0.449	0.81	0.624
YER163C	YER163C	weak similarity to E.coli cation transport protein	0.711	0.589	0.795	0.94	0.844	0.656	0.799	0.911	0.892	0.877	0.855	0.852	0.939	0.952
YER164W	CHD1	transcriptional regulator	0.27	0.309	0.381	0.42	0.681	0.17	0.162	0.332	0.505	0.207	0.209	0.238	0.31	0.358
YER165W	PAB1	mRNA polyadenylate-binding protein	0.913	0.814	0.875	0.731	0.654	0.621	0.685	0.725	0.795	0.746	0.506	0.502	0.763	0.687
YER166W	YER166W	similarity to ATPase P.falciparum ATPase 2	0.162	0.231	0.03	0.333	0.504	0.111	0.105	0.227	0.08	0.124	0.357	0.246	0.375	0.39
YER167W	BCK2	suppressor of mutations in protein kinase C pathway components	0.74	0.81	0.851	0.559	0.666	0.575	0.694	0.803	0.814	0.832	0.701	0.482	0.69	0.638
YER168C	CCA1	tRNA nucleotidyltransferase	0.855	0.411	0.879	0.785	0.572	0.666	0.74	0.851	0.793	0.83	0.665	0.769	0.707	0.941
YER169W	RPH1	similarity to human retinoblastoma binding protein 2	0.855	0.411	0.879	0.785	0.572	0.666	0.74	0.851	0.793	0.83	0.665	0.769	0.707	0.941
YER170W	ADK2	"adenylate kinase, mitochondrial"	0.688	0.889	0.956	0.718	0.026	0.527	0.424	0.806	0.704	0.788	0.754	0.665	0.834	0.627
YER171W	RAD3	DNA helicase/ATPase	0.616	0.446	0.425	0.811	0.531	0.395	0.149	0.215	0.434	0.473	0.268	0.384	0.639	0.487
YER172C	BRR2	RNA helicase-related protein	0.312	0.489	0.381	0.723	0.623	0.518	0.421	0.474	0.303	0.432	0.413	0.234	0.444	0.395
YER173W	RAD24	cell cycle checkpoint protein	0.312	0.489	0.381	0.723	0.623	0.518	0.421	0.474	0.303	0.432	0.413	0.234	0.444	0.395
YER174C	GRX4	"member of the subfamily of yeast glutaredoxins (Grx3, GRX4, and Grx5)"	0.351	0.058	0.199	0.198	0.411	0.069	0.302	0.245	0.543	0.376	0.064	0	0.01	0.337
YER175C	TMT1	similarity to hypothetical protein YHR209w	0.42	0.202	0.256	0.204	0	0.225	0.285	0.079	0.452	0.336	0.008	0.006	0	0.1
YER176W	ECM32	DNA dependent ATPase/DNA helicase B	0.42	0.202	0.256	0.204	0	0.225	0.285	0.079	0.452	0.336	0.008	0.006	0	0.1
